depth;potential.temperature;salinity
7.25;23.5222;34.4848
7.25;23.521;34.4852
7.25;23.4394;34.4868
7.25;21.9891;34.5313
7.25;23.1125;34.5574
7.25;22.4492;34.567
7.25;23.6343;34.5794
7.25;22.1493;34.5812
7.25;23.5396;34.6008
7.25;23.6645;34.6166
7.25;23.6397;34.6298
7.25;23.922;34.6349
7.25;23.7128;34.6438
7.25;23.8164;34.6606
7.5;26.219;33.797
7.5;26.1458;33.8046
7.5;25.6991;33.8426
7.5;25.3091;33.8973
7.5;25.1161;33.9019
7.5;25.2033;33.9318
7.5;25.211;33.9337
7.5;25.2006;33.9477
7.5;25.1063;34.0102
7.5;25.0019;34.0679
7.5;25.0661;34.0806
7.5;24.9257;34.099
7.5;24.0391;34.1347
7.5;24.1054;34.1854
7.5;24.4375;34.2195
7.5;24.8682;34.2316
7.5;25.1136;34.2343
7.5;25.399;34.2427
7.5;24.5431;34.2769
7.5;24.3815;34.279
7.5;24.0253;34.2928
7.5;24.3194;34.331
7.5;24.5699;34.3912
7.5;24.3692;34.4006
7.5;23.7469;34.4065
7.5;23.3816;34.4611
7.5;23.1895;34.4663
7.5;23.3481;34.4679
7.5;23.184;34.4687
7.5;24.5123;34.4763
7.5;23.5222;34.4844
7.5;23.5197;34.4853
7.5;23.4392;34.4868
7.5;21.9892;34.5314
7.5;23.1128;34.5574
7.5;22.4491;34.5669
7.5;23.6344;34.5796
7.5;22.1495;34.5812
7.5;23.54;34.6007
7.5;23.6641;34.6166
7.5;23.6394;34.6299
7.5;23.8532;34.6361
7.5;23.7125;34.644
7.5;23.816;34.6606
7.75;26.2101;33.7969
7.75;26.1457;33.8046
7.75;25.6998;33.8431
7.75;25.3087;33.8974
7.75;25.1176;33.9018
7.75;25.2029;33.9316
7.75;25.2104;33.9336
7.75;25.2006;33.9477
7.75;25.1046;34.011
7.75;25.0006;34.0679
7.75;25.1108;34.0799
7.75;24.9255;34.0988
7.75;24.038;34.1356
7.75;24.1054;34.1854
7.75;24.4379;34.2197
7.75;24.8636;34.2315
7.75;25.1132;34.2344
7.75;25.3991;34.2448
7.75;24.5635;34.2757
7.75;24.3816;34.2789
7.75;24.0248;34.2931
7.75;24.3171;34.331
7.75;24.5701;34.3911
7.75;24.3671;34.4007
7.75;23.7461;34.4065
7.75;23.3809;34.4611
7.75;23.1564;34.4658
7.75;23.3452;34.4679
7.75;23.1834;34.4686
7.75;24.5469;34.4824
7.75;23.524;34.4849
7.75;23.5206;34.4853
7.75;23.4396;34.4871
7.75;21.9893;34.5313
7.75;23.1128;34.5574
7.75;22.448;34.5667
7.75;23.6344;34.5795
7.75;22.1495;34.5812
7.75;21.3052;34.5896
7.75;23.5395;34.6006
7.75;23.6645;34.6169
7.75;23.6394;34.6299
7.75;23.8043;34.6361
7.75;23.7155;34.6455
7.75;23.8151;34.6606
8;26.2076;33.7977
8;26.1452;33.8046
8;25.7019;33.843
8;25.3092;33.8974
8;25.1172;33.902
8;25.2029;33.9317
8;25.2103;33.9336
8;25.201;33.9478
8;25.1019;34.0104
8;24.9966;34.0672
8;25.0903;34.0761
8;24.9225;34.0987
8;24.0417;34.1358
8;24.1052;34.1855
8;24.4387;34.2197
8;24.8485;34.2314
8;25.1126;34.2345
8;25.3993;34.2427
8;24.5667;34.2779
8;24.3813;34.2787
8;24.0249;34.2929
8;24.3157;34.3313
8;24.5698;34.3912
8;24.3731;34.4006
8;23.7459;34.4066
8;23.3762;34.4611
8;23.1226;34.4652
8;23.3441;34.468
8;23.183;34.4686
8;24.5747;34.4762
8;23.5194;34.4841
8;23.5209;34.4853
8;23.4394;34.4868
8;21.9878;34.5313
8;23.1127;34.5574
8;22.4468;34.567
8;23.6346;34.5797
8;22.1495;34.581
8;21.3047;34.5896
8;23.54;34.6005
8;23.6648;34.6168
8;23.6395;34.63
8;23.7582;34.638
8;23.7186;34.6477
8;23.8144;34.6606
8.25;26.2099;33.7975
8.25;26.1417;33.8048
8.25;25.7013;33.8429
8.25;25.309;33.8974
8.25;25.1172;33.9018
8.25;25.1958;33.9313
8.25;25.2104;33.9336
8.25;25.2007;33.9476
8.25;25.0995;34.0107
8.25;24.9845;34.0666
8.25;25.0967;34.08
8.25;24.9261;34.0995
8.25;24.0467;34.1354
8.25;24.1054;34.1854
8.25;24.4387;34.2195
8.25;24.8341;34.2317
8.25;25.1136;34.2346
8.25;25.4128;34.2461
8.25;24.5785;34.2748
8.25;24.3815;34.279
8.25;24.0244;34.2932
8.25;24.3128;34.3311
8.25;24.5694;34.3913
8.25;24.3646;34.4004
8.25;23.7484;34.4068
8.25;23.3709;34.4609
8.25;23.1135;34.465
8.25;23.345;34.4679
8.25;23.1828;34.4686
8.25;24.5645;34.4722
8.25;23.4999;34.4841
8.25;23.5242;34.4854
8.25;23.4381;34.4869
8.25;21.9883;34.5315
8.25;23.1126;34.5575
8.25;22.4473;34.567
8.25;23.6348;34.5794
8.25;22.1495;34.5811
8.25;21.3043;34.5896
8.25;23.5413;34.6005
8.25;23.6647;34.6167
8.25;23.6397;34.63
8.25;23.7189;34.6397
8.25;23.715;34.648
8.25;23.8131;34.6607
8.5;26.2111;33.7973
8.5;26.143;33.8048
8.5;25.7025;33.8427
8.5;25.3085;33.8974
8.5;25.1174;33.9022
8.5;25.1962;33.9316
8.5;25.2106;33.9337
8.5;25.1997;33.9478
8.5;25.0975;34.0106
8.5;24.9804;34.0685
8.5;25.1049;34.0803
8.5;24.9302;34.0991
8.5;24.0475;34.1345
8.5;24.1052;34.1852
8.5;24.4379;34.2196
8.5;24.8218;34.2319
8.5;25.1154;34.2341
8.5;25.4044;34.2451
8.5;24.5648;34.2751
8.5;24.3822;34.279
8.5;24.0175;34.2933
8.5;24.3114;34.3311
8.5;24.5703;34.3913
8.5;24.3547;34.401
8.5;23.7498;34.4062
8.5;23.3636;34.4601
8.5;23.0877;34.4635
8.5;23.342;34.4678
8.5;23.1832;34.4684
8.5;24.519;34.4689
8.5;23.3981;34.4742
8.5;23.5247;34.4853
8.5;23.4404;34.487
8.5;21.9888;34.5314
8.5;23.1126;34.5575
8.5;22.4489;34.5668
8.5;23.6318;34.5794
8.5;22.1489;34.5808
8.5;21.3049;34.5897
8.5;23.5415;34.6004
8.5;23.6648;34.6167
8.5;23.64;34.6301
8.5;23.7024;34.6393
8.5;23.7122;34.6486
8.5;23.8132;34.6607
8.75;26.212;33.7973
8.75;26.1446;33.8049
8.75;25.7051;33.8428
8.75;25.3119;33.8977
8.75;25.1231;33.9018
8.75;25.1917;33.9311
8.75;25.2102;33.9336
8.75;25.1996;33.9478
8.75;25.0966;34.0107
8.75;25.0294;34.0683
8.75;25.1261;34.081
8.75;24.9307;34.0989
8.75;24.7212;34.1145
8.75;24.0443;34.1344
8.75;24.1046;34.1856
8.75;24.4338;34.2196
8.75;24.814;34.2317
8.75;25.1151;34.2341
